GeoID,GeogName,approx_mean_income
MN25,Battery Park City-Lower Manhattan,
MN03,Central Harlem North-Polo Grounds,
MN11,Central Harlem South,
MN27,Chinatown,
MN15,Clinton,
MN34,East Harlem North,
MN33,East Harlem South,
MN22,East Village,
MN21,Gramercy,
MN04,Hamilton Heights,
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,
MN31,Lenox Hill-Roosevelt Island,
MN14,Lincoln Square,
MN28,Lower East Side,
MN06,Manhattanville,
MN01,Marble Hill-Inwood,
MN17,Midtown-Midtown South,
MN09,Morningside Heights,
MN20,Murray Hill-Kips Bay,
MN99,park-cemetery-etc-Manhattan,
MN24,SoHo-TriBeCa-Civic Center-Little Italy,
MN50,Stuyvesant Town-Cooper Village,
MN19,Turtle Bay-East Midtown,
MN40,Upper East Side-Carnegie Hill,
MN12,Upper West Side,
MN35,Washington Heights North,
MN36,Washington Heights South,
MN23,West Village,
MN32,Yorkville,
